iter	TotalF1:average=Macro	MultiClassOneVsAll
139	0.6569940096	0.4600263246
140	0.6572405184	0.4595642173
141	0.657417127	0.4591167935
142	0.6580191685	0.4587736831
143	0.6582915032	0.4583685506
144	0.6583187131	0.4579922114
145	0.6583483377	0.4576081098
146	0.6585404355	0.4573059524
147	0.6588178199	0.4569966445
148	0.6588570301	0.4566607229
149	0.6588131833	0.4563376111
150	0.6589650297	0.4559311402
151	0.6590732472	0.4555361026
152	0.6590658303	0.4552115377
153	0.6594521276	0.4548889229
154	0.6596873171	0.4544554942
155	0.6599766687	0.4539979755
156	0.6603493856	0.453562176
157	0.6606153434	0.4531405247
158	0.6613068249	0.4527219706
159	0.6616276444	0.4523236444
160	0.6621491512	0.4519380133
161	0.6626357883	0.4515644272
162	0.6630219914	0.4511909558
163	0.6633461519	0.4508368711
164	0.6639465825	0.4504958256
165	0.6641525043	0.4501636131
166	0.664261298	0.4499429029
167	0.664299672	0.4496286241
168	0.6644166873	0.4493058564
169	0.6645003876	0.4490130291
170	0.66464104	0.4487245227
171	0.6648263797	0.4484265716
172	0.6650334562	0.4481525574
173	0.6655508668	0.4478716604
174	0.6656425666	0.4476273191
175	0.6657436821	0.4473828247
176	0.6658681296	0.4471511019
177	0.6661482493	0.4469321506
178	0.6664677798	0.4466886505
179	0.6664985041	0.4464959305
180	0.666619583	0.4463077992
181	0.6668218448	0.4460889244
182	0.6670065985	0.4458744087
183	0.6670914193	0.4456749588
184	0.6671695745	0.4454740177
185	0.6672677409	0.4452731912
186	0.6673322085	0.4450710265
187	0.6676934704	0.444844007
188	0.6677948532	0.4446508281
189	0.667831849	0.4444652587
190	0.6679131978	0.4442402658
191	0.6679726771	0.4440712917
192	0.668235508	0.4438419779
193	0.6682927684	0.4436936524
194	0.6684446708	0.4434829987
195	0.6683740924	0.4432979264
196	0.6686516242	0.4431261609
197	0.6688984145	0.4429491186
198	0.6692599228	0.442795325
199	0.6691465557	0.4426328896
200	0.6692682664	0.4424672804
