iter	Passed	Remaining
1071	12500	45804
1072	12510	45786
1073	12520	45768
1074	12530	45751
1075	12541	45738
1076	12551	45720
1077	12564	45712
1078	12574	45694
1079	12584	45677
1080	12595	45664
1081	12606	45648
1082	12616	45631
1083	12627	45616
1084	12638	45602
1085	12649	45587
1086	12660	45575
1087	12671	45561
1088	12682	45545
1089	12692	45531
1090	12702	45514
1091	12713	45499
1092	12724	45485
1093	12734	45467
1094	12744	45450
1095	12754	45432
1096	12769	45431
1097	12781	45422
1098	12791	45403
1099	12801	45385
1100	12812	45373
1101	12822	45354
1102	12832	45338
1103	12842	45320
1104	12852	45304
1105	12862	45287
1106	12873	45270
1107	12883	45254
1108	12893	45238
1109	12904	45224
1110	12914	45208
1111	12924	45189
1112	12934	45173
1113	12945	45157
1114	12955	45142
1115	12969	45137
1116	12981	45126
1117	12990	45106
1118	13001	45091
1119	13011	45074
1120	13022	45061
1121	13031	45042
1122	13042	45027
1123	13052	45010
1124	13063	44998
1125	13074	44983
1126	13084	44965
1127	13095	44952
1128	13106	44937
1129	13116	44920
1130	13127	44905
1131	13137	44890
1132	13146	44871
1133	13156	44853
1134	13168	44842
1135	13180	44831
1136	13189	44812
1137	13199	44794
1138	13208	44774
1139	13219	44761
1140	13229	44744
1141	13239	44725
1142	13248	44706
1143	13259	44691
1144	13270	44677
1145	13284	44674
1146	13297	44667
1147	13310	44661
1148	13325	44660
1149	13336	44648
1150	13346	44631
1151	13357	44616
1152	13368	44602
1153	13382	44599
1154	13396	44598
1155	13410	44594
1156	13425	44591
1157	13438	44585
1158	13450	44577
1159	13461	44563
1160	13472	44547
1161	13483	44533
1162	13494	44520
1163	13504	44504
1164	13515	44491
1165	13526	44477
1166	13537	44464
1167	13548	44450
1168	13559	44435
1169	13572	44431
1170	13586	44425
1171	13599	44420
1172	13612	44411
1173	13622	44396
1174	13633	44380
1175	13643	44364
1176	13654	44350
1177	13664	44334
1178	13675	44319
1179	13684	44301
1180	13695	44288
1181	13706	44274
1182	13716	44256
1183	13726	44240
1184	13737	44226
1185	13748	44212
1186	13757	44194
1187	13768	44180
1188	13779	44166
1189	13789	44149
1190	13799	44133
1191	13809	44116
1192	13819	44101
1193	13830	44086
1194	13841	44073
1195	13852	44059
1196	13862	44043
1197	13881	44056
1198	13895	44049
1199	13908	44043
1200	13919	44031
1201	13928	44011
1202	13938	43993
1203	13947	43973
1204	13956	43955
1205	13968	43945
1206	13982	43939
1207	13993	43926
1208	14003	43911
1209	14013	43892
1210	14022	43874
1211	14032	43858
1212	14043	43842
1213	14053	43827
1214	14063	43811
1215	14074	43797
1216	14085	43784
1217	14096	43772
1218	14106	43755
1219	14117	43740
1220	14126	43722
1221	14136	43706
1222	14146	43690
1223	14157	43674
1224	14166	43656
1225	14179	43648
1226	14193	43644
1227	14209	43646
1228	14221	43635
1229	14231	43620
1230	14242	43606
1231	14252	43591
1232	14263	43577
1233	14273	43561
1234	14284	43546
1235	14294	43530
1236	14305	43516
1237	14315	43502
1238	14325	43484
1239	14335	43467
1240	14345	43453
1241	14356	43440
1242	14368	43428
1243	14378	43411
1244	14389	43399
1245	14400	43387
1246	14410	43371
1247	14421	43358
1248	14433	43345
1249	14445	43335
1250	14455	43321
1251	14466	43307
1252	14478	43297
1253	14495	43301
1254	14510	43299
1255	14522	43289
1256	14531	43271
1257	14541	43255
1258	14552	43242
1259	14562	43226
1260	14572	43208
1261	14585	43200
1262	14600	43199
1263	14614	43194
1264	14628	43190
1265	14641	43184
1266	14657	43184
1267	14670	43177
1268	14681	43163
1269	14690	43145
1270	14701	43132
1271	14711	43117
1272	14722	43103
1273	14734	43092
1274	14744	43076
1275	14754	43060
1276	14764	43045
1277	14775	43031
1278	14788	43024
1279	14801	43016
1280	14815	43011
1281	14826	42998
1282	14836	42983
1283	14846	42966
1284	14857	42954
1285	14868	42939
1286	14879	42926
1287	14892	42921
1288	14902	42904
1289	14913	42890
1290	14923	42875
1291	14934	42861
1292	14944	42845
1293	14954	42830
1294	14965	42815
1295	14975	42801
1296	14989	42794
1297	14998	42777
1298	15008	42760
1299	15017	42743
1300	15029	42730
1301	15039	42717
1302	15050	42703
1303	15060	42686
1304	15069	42669
1305	15079	42653
1306	15090	42638
1307	15100	42624
1308	15110	42607
1309	15120	42591
1310	15138	42596
1311	15147	42580
1312	15158	42566
1313	15168	42550
1314	15184	42551
1315	15202	42556
1316	15212	42541
1317	15223	42528
1318	15235	42518
1319	15247	42507
1320	15258	42495
1321	15268	42480
1322	15278	42464
1323	15289	42449
1324	15299	42435
1325	15310	42420
1326	15322	42411
1327	15333	42397
1328	15344	42384
1329	15354	42369
1330	15363	42351
1331	15373	42336
1332	15390	42339
1333	15404	42334
1334	15415	42321
1335	15425	42305
1336	15436	42291
1337	15446	42276
1338	15457	42263
1339	15468	42250
1340	15479	42236
1341	15489	42221
1342	15499	42206
1343	15510	42191
1344	15521	42180
1345	15531	42162
1346	15543	42153
1347	15552	42135
1348	15562	42118
1349	15572	42104
1350	15584	42094
1351	15598	42088
1352	15611	42080
1353	15624	42072
1354	15636	42062
1355	15646	42047
1356	15656	42032
1357	15667	42018
1358	15679	42007
1359	15688	41991
1360	15699	41975
1361	15709	41960
1362	15719	41945
1363	15730	41931
1364	15740	41917
1365	15751	41903
1366	15761	41888
1367	15771	41873
1368	15782	41859
1369	15796	41854
1370	15808	41844
1371	15822	41840
1372	15835	41832
1373	15847	41821
1374	15860	41813
1375	15870	41798
1376	15881	41784
1377	15893	41775
1378	15902	41758
1379	15913	41743
1380	15924	41730
1381	15935	41718
1382	15945	41703
1383	15955	41688
1384	15965	41672
1385	15975	41655
1386	15985	41641
1387	15999	41634
1388	16010	41623
1389	16020	41606
1390	16031	41593
1391	16040	41577
1392	16052	41565
1393	16061	41549
1394	16072	41533
1395	16082	41519
1396	16092	41503
1397	16102	41488
1398	16111	41471
1399	16122	41456
1400	16132	41443
1401	16143	41430
1402	16153	41414
1403	16164	41401
1404	16175	41389
1405	16184	41371
1406	16195	41358
1407	16206	41344
1408	16216	41328
1409	16226	41314
1410	16238	41302
1411	16247	41285
1412	16258	41272
1413	16268	41258
1414	16278	41242
1415	16290	41231
1416	16300	41216
1417	16309	41200
1418	16320	41185
1419	16330	41171
1420	16340	41155
1421	16351	41142
1422	16361	41127
1423	16371	41113
1424	16382	41099
1425	16394	41089
1426	16408	41084
1427	16421	41076
1428	16434	41067
1429	16443	41050
1430	16454	41038
1431	16465	41024
1432	16475	41010
1433	16485	40994
1434	16496	40981
1435	16506	40968
1436	16517	40953
1437	16527	40938
1438	16537	40924
1439	16548	40911
1440	16558	40897
1441	16570	40886
1442	16580	40871
1443	16591	40858
1444	16604	40849
1445	16612	40831
1446	16622	40816
1447	16633	40801
1448	16644	40790
1449	16655	40778
1450	16666	40765
1451	16676	40749
1452	16687	40736
1453	16698	40723
1454	16709	40710
1455	16720	40698
1456	16731	40685
1457	16742	40673
1458	16752	40657
1459	16762	40642
1460	16772	40628
1461	16783	40615
1462	16793	40601
1463	16807	40594
1464	16816	40578
1465	16827	40565
1466	16837	40550
1467	16847	40535
1468	16859	40523
1469	16870	40512
1470	16880	40496
1471	16890	40482
1472	16900	40467
1473	16910	40452
1474	16921	40439
1475	16932	40426
1476	16942	40411
1477	16952	40396
1478	16962	40382
1479	16973	40368
1480	16982	40352
1481	16992	40336
1482	17004	40327
1483	17017	40318
1484	17026	40302
1485	17037	40289
1486	17047	40274
1487	17056	40257
1488	17067	40244
1489	17078	40231
1490	17089	40219
1491	17099	40203
1492	17109	40190
1493	17121	40178
1494	17131	40163
1495	17142	40152
1496	17153	40138
1497	17162	40122
1498	17172	40108
1499	17182	40091
1500	17193	40080
1501	17204	40068
1502	17214	40052
1503	17224	40038
1504	17235	40024
1505	17246	40012
1506	17256	39998
1507	17267	39985
1508	17278	39973
1509	17288	39959
1510	17299	39945
1511	17312	39938
1512	17324	39927
1513	17334	39913
1514	17344	39899
1515	17356	39886
1516	17366	39872
1517	17375	39856
1518	17386	39842
1519	17403	39844
1520	17421	39849
1521	17439	39851
1522	17450	39838
1523	17460	39824
1524	17471	39811
1525	17482	39798
1526	17493	39786
1527	17505	39777
1528	17519	39770
1529	17531	39759
1530	17542	39747
1531	17552	39733
1532	17563	39721
1533	17573	39706
1534	17583	39690
1535	17594	39678
1536	17603	39662
1537	17614	39649
1538	17625	39637
1539	17635	39622
1540	17645	39607
1541	17656	39594
1542	17667	39582
1543	17677	39567
1544	17686	39551
1545	17697	39539
1546	17710	39531
1547	17721	39519
1548	17732	39505
1549	17743	39494
1550	17753	39479
1551	17764	39466
1552	17774	39451
1553	17784	39438
1554	17795	39424
1555	17806	39412
