year;hour_minute;lighting_condition;location;intersection;weather_condition;type_of_collision;latitude;longitude;road_category;traffic_regime;number_of_traffic_lanes;reserved_lane_present;longitudinal_profile;horizontal_alignment;carriageway_width;pavement_condition;infrastructure;accident_situation;speed_limit;number_vehicle_x;position;user_category;injury_severity;sex;pedestrian_location;pedestrian_action;role;number_vehicle_y;direction_of_travel;vehicle_category;fixed_obstacle_struck;mobile_obstacle_struck;initial_point_of_impact;main_maneuver_before_accident;motor_type;vehicle_cat_-1;vehicle_cat_0;vehicle_cat_1;vehicle_cat_2;vehicle_cat_3;vehicle_cat_7;vehicle_cat_10;vehicle_cat_13;vehicle_cat_14;vehicle_cat_15;vehicle_cat_16;vehicle_cat_17;vehicle_cat_20;vehicle_cat_21;vehicle_cat_30;vehicle_cat_31;vehicle_cat_32;vehicle_cat_33;vehicle_cat_34;vehicle_cat_35;vehicle_cat_36;vehicle_cat_37;vehicle_cat_38;vehicle_cat_39;vehicle_cat_40;vehicle_cat_41;vehicle_cat_42;vehicle_cat_43;vehicle_cat_50;vehicle_cat_60;vehicle_cat_80;vehicle_cat_99;vehicle_category_simplified;impact_score;age;age_group;used_belt;used_helmet;day_of_week_sin;day_of_week_cos;month_sin;month_cos;day_of_year_sin;day_of_year_cos;road_complexity_index;surface_quality_indicator
2023;06:23;1;2;2;1;3;48,83755100;2,32293600;4;1;1;1;1;1; -1;1;0;1;30;B01;1;1;3;1;-1; -1;driver;B01;3;43;0;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;powered_2_3_wheeler;3;34.0;adult;0;1;0.0;1.0;-0.4999999999999998;-0.8660254037844388;-0.4840885216389758;-0.8750190302029955;4.166666666666667;1
2023;23:25;5;2;6;1;2;48,82258397;2,54112133;4;1;1;0;2;1; -1;1;9;1;30;B01;4;2;4;2;-1; -1;passenger;B01;1;7;0;2;6;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;8.0;child_teen;1;0;0.4338837391175582;-0.900968867902419;-0.4999999999999998;-0.8660254037844388;-0.1944312200476619;-0.9809161537413774;5.416666666666667;0
2023;12:05;1;2;1;1;1;43,33185000;5,42872000;4;1;2;0;1;1; -1;1;0;1;50;A01;1;1;1;1;2;3;driver;A01;2;7;0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;46.0;middle_aged;0;0;0.9749279121818236;-0.2225209339563143;-0.5000000000000004;0.8660254037844384;-0.7142921172691032;0.699847677146407;2.916666666666667;1
2023;17:05;5;2;1;1;6;49,01084000;2,04671000;3;2;2;0;1;1; -1;1;0;1;50;A01;1;1;1;2;0;0;driver;A01;1;7;0;1;3;19;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;43.0;middle_aged;1;0;0.0;1.0;-2.4492935982947064e-16;1.0;-0.225963608248019;0.974135744004672;3.75;1
2023;15:20;1;2;1;1;2;41,94793700;8,74947300;4;2;2;0;2;3; -1;1;0;1;-1;B01;1;1;1;1;0;0;driver;B01;3;10;0;2;4;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;36.0;adult;0;0;0.9749279121818236;-0.2225209339563143;0.8660254037844386;0.5000000000000001;0.6216868902665479;0.7832658619336791;4.166666666666667;0
2023;08:00;1;2;1;1;3;49,27744600; -0,70856900;4;1;1;0;1;1; -1;1;0;1;50;B01;1;1;1;1;0;0;driver;B01;0;7;0;2;1;20;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;26.0;adult;1;0;-0.7818314824680299;0.6234898018587334;-0.8660254037844384;-0.5000000000000004;-0.666088855860977;-0.7458723993404063;2.5000000000000004;1
2023;15:00;1;1;1;1;6;44,97038900;5,11089600;4;2;2;0;1;1; -1;1;0;3;50;A01;1;1;3;1;0;0;driver;A01;3;7;2;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;22.0;young_adult;1;0;-0.9749279121818236;-0.2225209339563146;0.8660254037844387;-0.4999999999999998;0.8887010478292915;-0.4584871291400876;4.166666666666667;1
2023;10:55;1;2;9;3;3; -20,94394000;55,64944000;2;2;4;0;1;1; -1;2;3;1;90;B01;2;2;1;1;-1; -1;passenger;B01;1;7;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;24.0;young_adult;1;0;-0.433883739117558;-0.9009688679024191;1.0;6.123233995736766e-17;0.9272375462179536;0.374473674486883;5.0;0
2023;17:10;1;1;6;1;3;48,76050909; -3,29320818;3;1;2;0;2;2; -1;1;0;1;30;A01;1;1;1;1;0;0;driver;A01;2;7;0;9;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;81.0;senior;1;0;0.7818314824680298;0.6234898018587336;-0.8660254037844386;0.5000000000000001;-0.9993706508539968;0.0354725557531255;5.416666666666667;0
2023;14:20;1;1;1;1;1;46,82908700;0,71491800;3;2;2;0;2;1; -1;1;0;1;80;B01;1;1;3;1;0;0;driver;B01;1;7;0;2;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;32.0;adult;0;0;-0.7818314824680299;0.6234898018587334;0.4999999999999999;0.8660254037844387;0.4784338202547012;0.8781236129591848;3.75;0
2023;17:30;1;2;1;1;3;44,80152000; -0,63122000;4;2;2;0;1;1; -1;1;0;1;50;A01;1;1;1;1;-1; -1;driver;A01;2;7;0;2;7;20;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;light_motor_vehicle;4;51.0;middle_aged;1;0;0.9749279121818236;-0.2225209339563143;-0.5000000000000004;0.8660254037844384;-0.6250496486104377;0.7805849965070866;4.166666666666667;1
2023;18:30;1;2;3;1;3;44,83496639; -0,57204679;4;3;4;3;1;1; -1;1;-1;1;30;B01;1;1;1;1;-1; -1;driver;B01;2;7;0;2;2;15;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;32.0;adult;1;0;-0.7818314824680299;0.6234898018587334;1.0;6.123233995736766e-17;0.8916401947968874;0.452744699607371;5.416666666666667;1
2023;14:45;1;1;1;1;3;44,08862500;5,09425000;3;2;2;0;1;4;4;9;8;1;50;B01;1;1;3;1;0;0;driver;B01;1;30;0;2;2;21;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;powered_2_3_wheeler;3;15.0;child_teen;0;1;-0.7818314824680299;0.6234898018587334;1.2246467991473532e-16;-1.0;0.2322429240090701;-0.9726578145718654;3.75;0
2023;19:25;2;1;1;1;3;48,55525800;1,93475200;1;3;0;0;1;1;0;1;7;1;130;A01;2;2;1;2;0;0;passenger;A01;2;7;0;2;7;14;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;66.0;senior;1;0;-0.7818314824680299;0.6234898018587334;-0.8660254037844386;0.5000000000000001;-0.9999994220246924;0.0010751512827982;1.25;1
2023;11:30;1;1;1;1;1;42,53537400;8,81343800;3;2;2;0;1;1;7;1;0;1;70;A01;2;2;4;2;0;0;passenger;A01;1;7;0;2;1;13;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;20.0;young_adult;1;0;0.7818314824680298;0.6234898018587336;-0.8660254037844384;-0.5000000000000004;-0.7731383255706027;-0.6342374393978054;3.75;1
2023;16:45;1;1;1;1;5;48,61140600; -1,37374200;2;3;0;0;2;1;0;1;0;1;110;C01;1;1;1;1;0;0;driver;C01;1;10;0;0;8;1;1;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;59.0;middle_aged;1;0;-0.9749279121818236;-0.2225209339563146;-0.8660254037844384;-0.5000000000000004;-0.7393922635959241;-0.673274892250183;1.6666666666666667;0
2023;19:00;1;1;1;1;4;43,33970900;5,37668900;1;1;2;0;1;1; -1;1;0;1;70;Z01;1;1;1;-1;-1; -1;driver;Z01;1;7;0;2;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;;;0;0;0.7818314824680298;0.6234898018587336;1.2246467991473532e-16;-1.0;0.1986479428801711;-0.9800709131432666;1.6666666666666667;1
2023;16:10;1;2;3;1;3;48,93388300;7,88209000;3;2;2;0;2;1;7;1;0;1;50;B01;1;1;1;2;0;0;driver;B01;0;7;0;2;7;15;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;36.0;adult;1;0;-0.433883739117558;-0.9009688679024191;1.2246467991473532e-16;-1.0;0.1478271334705304;-0.9890132145779884;5.0;0
2023;10:00;1;2;1;1;3;44,64736900; -1,15613400;3;2;2;0;1;1; -1;2;0;1;50;B01;1;1;1;2;-1; -1;driver;B01;2;2;0;2;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;powered_2_3_wheeler;3;17.0;child_teen;0;1;0.7818314824680298;0.6234898018587336;-0.5000000000000004;0.8660254037844384;-0.7262249146041543;0.6874571793269664;3.75;0
2023;13:30;1;1;1;1;2;48,71199000;2,30795000;1;2;3;0;1;1;14;1;0;1;110;A01;1;1;4;2;0;0;driver;A01;1;7;0;2;4;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;27.0;adult;0;0;0.9749279121818236;-0.2225209339563143;-1.0;-1.8369701987210294e-16;-0.9527692922168512;-0.3036950375106588;3.3333333333333335;1
2023;10:38;1;2;5;1;6;48,86190200;2,30203800;4;2;3;1;1;1; -1;1;0;1;30;A01;1;1;1;2;-1; -1;driver;A01;1;7;0;1;3;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;58.0;middle_aged;1;0;0.0;1.0;-1.0;-1.8369701987210294e-16;-0.9417589340994617;-0.3362887301766828;7.083333333333333;1
2023;14:26;1;2;1;1;6;47,63809400;6,85867700;3;1;1;0;1;1; -1;1;0;1;50;A01;10;3;1;1;3;3;pedestrian;A01;1;7;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;2.0;child_teen;0;0;-0.9749279121818236;-0.2225209339563146;-0.8660254037844386;0.5000000000000001;-0.9410336347451196;0.3383130181923075;2.0833333333333335;1
2023;14:05;1;1;1;2;7;49,19396200;6,09314500;1;3;4;0;2;2; -1;2;0;8;130;A01;1;1;3;2;0;0;driver;A01;1;7;13;0;9;17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;45.0;middle_aged;1;0;0.0;1.0;0.4999999999999999;0.8660254037844387;0.1542040475626894;0.988039023376751;2.916666666666667;0
2023;04:00;5;1;1;1;7;14,61834000; -61,02366000;1;2;6;3;1;1; -1;1;0;1;70;A01;3;2;4;2;-1; -1;passenger;A01;1;7;0;0;1;26;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;25.0;adult;1;0;-0.7818314824680299;0.6234898018587334;0.4999999999999999;0.8660254037844387;0.0172015754182605;0.9998520419557736;4.583333333333333;1
2023;22:30;5;2;9;1;7;48,90110314;2,49969538;4;2;2;0;1;1; -1;1;0;3;50;A01;1;1;3;1;-1; -1;driver;A01;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;powered_2_3_wheeler;3;15.0;child_teen;0;1;-0.9749279121818236;-0.2225209339563146;-1.0;-1.8369701987210294e-16;-0.9296339319682696;-0.3684843993077793;5.0;1
2023;09:10;1;1;1;2;6;48,96340000;2,52179000;1;3;3;0;1;3;13,5;2;0;1;90;A01;1;1;4;2;-1; -1;driver;A01;2;7;4;2;3;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;38.0;adult;1;0;0.4338837391175582;-0.900968867902419;-0.8660254037844386;0.5000000000000001;-0.9084917035725082;0.4179028888867866;2.5000000000000004;0
2023;13:30;1;1;1;1;6;44,65835100;1,57001500;6;-1;0;0;1;2; -1;1;0;1;30;A01;10;3;3;1;2;1;pedestrian;A01;3;7;0;1;8;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;light_motor_vehicle;4;70.0;senior;0;0;0.9749279121818236;-0.2225209339563143;1.2246467991473532e-16;-1.0;0.4110537546870351;-0.911611107193024;1.25;1
